ElectorateDistrict , ElectorateType
"Auckland_Central" , "General Candidate"
"Bay_of_Plenty" , "General No Candidate"
"Botany" , "General No Candidate"
"Christchurch_Central" , "General No Candidate"
"Christchurch_East" , "General No Candidate"
"Clutha-Southland" , "General No Candidate"
"Coromandel" , "General No Candidate"
"Dunedin_North" , "General Candidate"
"Dunedin_South" , "General Candidate"
"East_Coast" , "General Candidate"
"East_Coast_Bays" , "General No Candidate"
"Epsom" , "General No Candidate"
"Hamilton_East" , "General Candidate"
"Hamilton_West" , "General No Candidate"
"Helensville" , "General Candidate"
"Hunua" , "General No Candidate"
"Hutt_South" , "General No Candidate"
"Ilam" , "General Candidate"
"Invercargill" , "General No Candidate"
"Kaikōura" , "General No Candidate"
"Kelston" , "General Candidate"
"Mana" , "General No Candidate"
"Māngere" , "General Candidate"
"Manukau_East" , "General Candidate"
"Manurewa" , "General Candidate"
"Maungakiekie" , "General Candidate"
"Mt_Albert" , "General Candidate"
"Mt_Roskill" , "General Candidate"
"Napier" , "General No Candidate"
"Nelson" , "General No Candidate"
"New_Lynn" , "General No Candidate"
"New_Plymouth" , "General No Candidate"
"North_Shore" , "General No Candidate"
"Northcote" , "General Candidate"
"Northland" , "General No Candidate"
"Ōhāriu" , "General No Candidate"
"Ōtaki" , "General No Candidate"
"Pakuranga" , "General No Candidate"
"Palmerston_North" , "General Candidate"
"Papakura" , "General Candidate"
"Port_Hills" , "General No Candidate"
"Rangitata" , "General No Candidate"
"Rangitīkei" , "General No Candidate"
"Rimutaka" , "General No Candidate"
"Rodney" , "General No Candidate"
"Rongotai" , "General Candidate"
"Rotorua" , "General No Candidate"
"Selwyn" , "General No Candidate"
"Tāmaki" , "General Candidate"
"Taranaki-King_Country" , "General Candidate"
"Taupō" , "General No Candidate"
"Tauranga" , "General No Candidate"
"Te_Atatū" , "General Candidate"
"Tukituki" , "General No Candidate"
"Upper_Harbour" , "General Candidate"
"Waikato" , "General No Candidate"
"Waimakariri" , "General No Candidate"
"Wairarapa" , "General No Candidate"
"Waitaki" , "General No Candidate"
"Wellington_Central" , "General Candidate"
"West_Coast-Tasman" , "General No Candidate"
"Whanganui" , "General No Candidate"
"Whangarei" , "General Candidate"
"Wigram" , "General Candidate"
"Hauraki-Waikato" , "Maori"
"Ikaroa-Rāwhiti" , "Maori"
"Tāmaki_Makaurau" , "Maori"
"Te_Tai_Hauāuru" , "Maori"
"Te_Tai_Tokerau" , "Maori"
"Te_Tai_Tonga" , "Maori"
"Waiariki" , "Maori"
